[Wed Apr 01 03:17:37 2020] [error] [client 64.246.165.160] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 06:21:10 2020] [error] [client 95.163.255.210] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 10:57:42 2020] [error] [client 95.163.255.223] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 12:12:53 2020] [error] [client 212.193.117.245] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 16:15:36 2020] [error] [client 148.251.223.21] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 20:44:29 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 20:45:26 2020] [error] [client 95.108.213.46] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/robots.txt
[Wed Apr 01 20:48:20 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/js/swiper.min.js.map
[Wed Apr 01 20:52:17 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/js/swiper.min.js.map
[Wed Apr 01 20:52:26 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/js/swiper.min.js.map
[Wed Apr 01 20:52:35 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:52:35 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:52:37 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:52:37 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:54:56 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:54:56 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:55:30 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:55:30 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:56:12 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:56:12 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:58:39 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 20:58:39 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 20:58:40 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/favicon.ico, referer: http://norathedog.ru/send.php
[Wed Apr 01 21:00:23 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 21:00:23 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 21:00:48 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/js/swiper.min.js.map
[Wed Apr 01 21:02:37 2020] [warn] [client 77.111.247.47] (70008)Partial results are valid but processing is incomplete: mod_fcgid: can't get data from http client, referer: http://norathedog.ru/
[Wed Apr 01 21:04:44 2020] [warn] [client 78.140.211.191] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 21:04:44 2020] [error] [client 78.140.211.191] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 21:06:28 2020] [warn] [client 77.111.247.126] mod_fcgid: read data timeout in 240 seconds, referer: http://norathedog.ru/
[Wed Apr 01 21:06:28 2020] [error] [client 77.111.247.126] Premature end of script headers: send.php, referer: http://norathedog.ru/
[Wed Apr 01 21:07:45 2020] [error] [client 78.140.211.191] File does not exist: /home/clients/kazhe94_ftp0/domains/norathedog.ru/html/js/swiper.min.js.map
